# Demo catalog — curated list (docs/DEMO_DATA_PLAN_2026-09-03.md WS1, 300 titles).
# Columns: slice (ar|en|other) · region (ISO 3166-1 alpha-2 of the film's home country) · tier (popular|mid|niche, editorial judgment)
#          · year (expected release year, checked against Wikidata ±1) · titleEn (working English title) · wiki (lang:Wikipedia_page_title used to resolve the Wikidata item)
#          · titleAr (optional manual override when Wikidata has no Arabic label)
#          · genres (optional manual override, comma-separated, when Wikidata has no P136 genre)
# internalId is explicit (last column) and permanently reserved in catalog.demo.identity.json; row order has no identity meaning.
# Not in this list on purpose: the 15 FILM fixtures in seed.ts (Arrival, Inception, The Grand Budapest Hotel, Parasite, Spirited Away,
# Mad Max: Fury Road, Moonlight, The Matrix, The Handmaiden, Paddington 2, Blade Runner 2049, Whiplash, Pan's Labyrinth, Before Sunrise, Get Out).
slice	region	tier	year	titleEn	wiki	titleAr	genres	internalId
other	ZA	niche	2020	My Octopus Teacher	en:My_Octopus_Teacher	تعلّمتُ من الأخطبوط		DEMO0320
other	ZA	niche	1992	Sarafina!	en:Sarafina!_(film)			DEMO0321
other	ZA	niche	2005	U-Carmen eKhayelitsha	en:U-Carmen_eKhayelitsha			DEMO0322
other	ZM	niche	2017	I Am Not a Witch	en:I_Am_Not_a_Witch			DEMO0323
ar	DZ	mid	1969	Z	en:Z_(1969_film)			DEMO0324
ar	DZ	mid	2006	Days of Glory	en:Days_of_Glory_(2006_film)			DEMO0325
ar	DZ	niche	1967	The Stranger	en:The_Stranger_(1967_film)			DEMO0326
ar	IQ	mid	2004	Turtles Can Fly	en:Turtles_Can_Fly			DEMO0327
ar	IQ	niche	2006	Dreams	en:Dreams_(2006_film)			DEMO0328
ar	LY	mid	1976	The Message	en:The_Message_(1976_film)			DEMO0329
ar	SD	niche	2019	Talking About Trees	en:Talking_About_Trees			DEMO0330
ar	TN	niche	2010	Outside the Law	en:Outside_the_Law_(2010_film)			DEMO0331
ar	TN	niche	2018	Dear Son	en:Dear_Son			DEMO0332
other	BA	mid	2001	No Man's Land	en:No_Man's_Land_(2001_film)			DEMO0333
other	BE	mid	2014	Two Days, One Night	en:Two_Days,_One_Night			DEMO0334
other	BE	niche	2011	The Kid with a Bike	en:The_Kid_with_a_Bike			DEMO0335
other	CN	mid	1991	Raise the Red Lantern	en:Raise_the_Red_Lantern			DEMO0336
other	CN	niche	2013	A Touch of Sin	en:A_Touch_of_Sin			DEMO0337
other	FI	mid	2002	The Man Without a Past	en:The_Man_Without_a_Past			DEMO0338
other	FR	mid	2013	Blue Is the Warmest Colour	en:Blue_Is_the_Warmest_Colour			DEMO0339
other	GR	mid	1964	Zorba the Greek	en:Zorba_the_Greek_(film)			DEMO0340
other	GR	mid	2009	Dogtooth	en:Dogtooth_(film)			DEMO0341
other	GR	niche	2016	Suntan	en:Suntan_(2016_film)			DEMO0342
other	IT	mid	1994	Il Postino: The Postman	en:Il_Postino:_The_Postman			DEMO0343
other	TW	niche	1991	A Brighter Summer Day	en:A_Brighter_Summer_Day			DEMO0344
other	TW	niche	2005	Three Times	en:Three_Times			DEMO0345
other	CZ	mid	1966	Closely Watched Trains	en:Closely_Watched_Trains			DEMO0346
other	CZ	mid	1965	The Shop on Main Street	en:The_Shop_on_Main_Street			DEMO0347
other	CZ	mid	1997	Kolya	en:Kolya_(film)			DEMO0348
other	GE	mid	1984	Repentance	en:Repentance_(1987_film)			DEMO0349
other	GE	niche	2014	Corn Island	en:Corn_Island_(film)			DEMO0350
other	GE	niche	2017	My Happy Family	en:My_Happy_Family			DEMO0351
other	HU	mid	1981	Mephisto	en:Mephisto_(1981_film)			DEMO0352
other	HU	niche	1994	Sátántangó	en:Sátántangó			DEMO0353
other	HU	niche	2000	Werckmeister Harmonies	en:Werckmeister_Harmonies			DEMO0354
other	KZ	mid	2007	Mongol	en:Mongol_(film)			DEMO0355
other	KZ	niche	2008	Tulpan	en:Tulpan			DEMO0356
other	KZ	niche	2013	Harmony Lessons	en:Harmony_Lessons			DEMO0357
other	PL	popular	2002	The Pianist	en:The_Pianist_(2002_film)			DEMO0358
other	PL	mid	2007	Katyń	en:Katyń_(film)			DEMO0359
other	PL	mid	2023	The Zone of Interest	en:The_Zone_of_Interest_(film)			DEMO0360
other	PL	mid	1993	Three Colours: Blue	en:Three_Colours:_Blue			DEMO0361
other	PL	mid	1994	Three Colours: Red	en:Three_Colours:_Red			DEMO0362
other	PL	mid	2018	Cold War	en:Cold_War_(2018_film)			DEMO0363
other	PL	mid	1958	Ashes and Diamonds	en:Ashes_and_Diamonds_(film)			DEMO0364
other	PL	mid	1977	Man of Marble	en:Man_of_Marble			DEMO0365
other	RO	mid	2007	4 Months, 3 Weeks and 2 Days	en:4_Months,_3_Weeks_and_2_Days			DEMO0366
other	RO	niche	2016	Graduation	en:Graduation_(2016_film)			DEMO0367
other	RO	niche	2005	The Death of Mr. Lazarescu	en:The_Death_of_Mr._Lazarescu			DEMO0368
other	RS	mid	1995	Underground	en:Underground_(1995_film)			DEMO0369
other	RU	mid	1962	Ivan's Childhood	en:Ivan's_Childhood			DEMO0370
other	RU	mid	1969	Well, Just You Wait!	en:Well,_Just_You_Wait!			DEMO0371
other	RU	mid	1994	Burnt by the Sun	en:Burnt_by_the_Sun			DEMO0372
other	RU	mid	1985	Come and See	en:Come_and_See	تعال وانظر		DEMO0373
other	RU	mid	2014	Leviathan	en:Leviathan_(2014_film)			DEMO0374
other	RU	mid	1929	Man with a Movie Camera	en:Man_with_a_Movie_Camera			DEMO0375
other	RU	mid	1957	The Cranes Are Flying	en:The_Cranes_Are_Flying			DEMO0376
other	ID	mid	2012	The Act of Killing	en:The_Act_of_Killing			DEMO0377
other	IR	niche	2016	Under the Shadow	en:Under_the_Shadow			DEMO0378
other	JP	mid	1988	Grave of the Fireflies	en:Grave_of_the_Fireflies			DEMO0379
other	JP	mid	1998	Ring	en:Ring_(film)			DEMO0380
other	JP	mid	1999	Audition	en:Audition_(1999_film)			DEMO0381
other	MK	mid	2019	Honeyland	en:Honeyland	ارض العسل		DEMO0382
en	US	mid	2008	Man on Wire	en:Man_on_Wire			DEMO0383
en	US	niche	2014	A Girl Walks Home Alone at Night	en:A_Girl_Walks_Home_Alone_at_Night			DEMO0384
en	US	niche	1994	Hoop Dreams	en:Hoop_Dreams			DEMO0385
other	AR	mid	2004	The Motorcycle Diaries	en:The_Motorcycle_Diaries_(film)			DEMO0386
other	AR	niche	2016	Zama	en:Zama_(film)			DEMO0387
other	AR	niche	2004	The Holy Girl	en:The_Holy_Girl			DEMO0388
other	AR	niche	2001	La Ciénaga	en:La_ciénaga_(film)			DEMO0389
other	BR	mid	1959	Black Orpheus	en:Black_Orpheus			DEMO0390
other	BR	mid	1998	Central Station	en:Central_Station_(film)			DEMO0391
other	CL	mid	2017	A Fantastic Woman	en:A_Fantastic_Woman			DEMO0392
other	CL	niche	2009	The Maid	en:The_Maid_(2009_film)			DEMO0393
other	CO	mid	2015	Embrace of the Serpent	en:Embrace_of_the_Serpent			DEMO0394
other	CU	mid	1993	Strawberry and Chocolate	en:Strawberry_and_Chocolate			DEMO0395
other	CU	niche	1968	Memories of Underdevelopment	en:Memories_of_Underdevelopment			DEMO0396
other	GT	niche	2015	Ixcanul	en:Ixcanul			DEMO0397
other	MX	mid	2006	Pan's Labyrinth	en:Pan's_Labyrinth			DEMO0398
other	MX	mid	1961	Viridiana	en:Viridiana			DEMO0399
other	MX	mid	2000	Amores perros	en:Amores_perros			DEMO0400
other	PE	mid	1972	Aguirre, the Wrath of God	en:Aguirre,_the_Wrath_of_God			DEMO0401
other	PE	mid	1982	Fitzcarraldo	en:Fitzcarraldo			DEMO0402
other	PE	mid	2009	The Milk of Sorrow	en:The_Milk_of_Sorrow			DEMO0403
other	PE	niche	2006	Madeinusa	en:Madeinusa			DEMO0404
other	BD	niche	2002	Matir Moina	en:Matir_Moina			DEMO0405
other	ID	niche	2014	The Raid 2	en:The_Raid_2			DEMO0406
other	ID	niche	2017	Marlina the Murderer in Four Acts	en:Marlina_the_Murderer_in_Four_Acts			DEMO0407
other	MY	niche	2023	Tiger Stripes	en:Tiger_Stripes_(film)			DEMO0408
other	MY	niche	2004	Sepet	en:Sepet			DEMO0409
other	PH	niche	2016	The Woman Who Left	en:The_Woman_Who_Left			DEMO0410
other	PH	niche	2013	Norte, the End of History	en:Norte,_the_End_of_History			DEMO0411
other	PH	niche	2013	Metro Manila	en:Metro_Manila_(film)			DEMO0412
other	PK	niche	2024	The Glassworker	en:The_Glassworker			DEMO0413
other	PK	niche	1998	Jinnah	en:Jinnah_(film)			DEMO0414
other	PK	niche	2003	Khamosh Pani	en:Khamosh_Pani			DEMO0415
other	PK	niche	2013	Zinda Bhaag	en:Zinda_Bhaag			DEMO0416
other	TH	mid	2010	Uncle Boonmee Who Can Recall His Past Lives	en:Uncle_Boonmee_Who_Can_Recall_His_Past_Lives			DEMO0417
other	TH	mid	2003	Ong-Bak: Muay Thai Warrior	en:Ong-Bak			DEMO0418
other	TH	niche	2024	How to Make Millions Before Grandma Dies	en:How_to_Make_Millions_Before_Grandma_Dies	كيف تكسب الملايين قبل أن تموت الجدة		DEMO0419
other	TH	niche	2017	Bad Genius	en:Bad_Genius_(2017_film)			DEMO0420
other	TH	niche	2021	Memoria	en:Memoria_(2021_film)	ذاكرة		DEMO0421
other	TH	niche	2004	Tropical Malady	en:Tropical_Malady			DEMO0422
other	TH	niche	2015	Cemetery of Splendour	en:Cemetery_of_Splendour			DEMO0423
other	TH	niche	2006	Syndromes and a Century	en:Syndromes_and_a_Century			DEMO0424
other	VN	niche	1993	The Scent of Green Papaya	en:The_Scent_of_Green_Papaya			DEMO0425
